ID,trialseq,Ab,DV,US,noUS
212,12,1,0.002469136,0,1
213,1,1,0.355967078,0,1
213,2,1,0.323045268,0,1
213,3,1,0.276748971,0,1
213,4,1,0.221193416,0,1
213,5,1,0.209876543,0,1
213,6,1,0.16872428,0,1
213,7,1,0.125514403,0,1
213,8,1,0.053497943,0,1
213,9,1,0.036008231,0,1
213,10,1,0.037037037,0,1
213,11,1,0.037037037,0,1
213,12,1,0.001028806,0,1
214,1,1,0.481995885,0,1
214,2,1,0.211934157,0,1
214,3,1,0.163065844,0,1
214,4,1,0.089763375,0,1
214,5,1,0.008744856,0,1
214,6,1,0.007458848,0,1
214,7,1,0.008744856,0,1
214,8,1,0.008744856,0,1
214,9,1,0.002314815,0,1
214,10,1,0.007458848,0,1
214,11,1,0.012602881,0,1
214,12,1,0.007458848,0,1
215,1,1,0.62962963,0,1
215,2,1,0.816872428,0,1
215,3,1,0.509259259,0,1
215,4,1,0.335390947,0,1
215,5,1,0.486625515,0,1
215,6,1,0.698559671,0,1
215,7,1,0.189300412,0,1
215,8,1,0.112139918,0,1
215,9,1,0.141975309,0,1
215,10,1,0.073045268,0,1
215,11,1,0.111111111,0,1
215,12,1,0.013374486,0,1
216,1,1,0.476337496,0,1
216,2,1,0.494855967,0,1
216,3,1,0.5,0,1
216,4,1,0.484567901,0,1
216,5,1,0.487654353,0,1
216,6,1,0.504115242,0,1
216,7,1,0.487654353,0,1
216,8,1,0.487654353,0,1
216,9,1,0.479423868,0,1
216,10,1,0.489711934,0,1
216,11,1,0.232510288,0,1
216,12,1,0.018518526,0,1
217,1,1,0.939300412,0,1
217,2,1,0.961934157,0,1
217,3,1,0.984567901,0,1
217,4,1,0.865226338,0,1
217,5,1,0.615226338,0,1
217,6,1,0.208847737,0,1
217,7,1,0.166666667,0,1
217,8,1,0.110082305,0,1
217,9,1,0.096707819,0,1
217,10,1,0.062757202,0,1
217,11,1,0.029835391,0,1
217,12,1,0.028806584,0,1
218,1,1,0.363581302,0,1
218,2,1,0.434215178,0,1
218,3,1,0.543191792,0,1
218,4,1,0.319248379,0,1
218,5,1,0.246784728,0,1
218,6,1,0.12831436,0,1
218,7,1,0.098876501,0,1
218,8,1,0.069986376,0,1
218,9,1,0.084706624,0,1
218,10,1,0.095985168,0,1
218,11,1,0.080672728,0,1
218,12,1,0.102164864,0,1
219,1,1,0.999074131,0,1
219,2,1,0.992592621,0,1
219,3,1,0.992592621,0,1
219,4,1,0.992592621,0,1
219,5,1,0.992592621,0,1
219,6,1,0.992592621,0,1
219,7,1,0.992592621,0,1
219,8,1,0.992592621,0,1
219,9,1,0.992592621,0,1
219,10,1,0.992592621,0,1
219,11,1,0.992592621,0,1
219,12,1,0.992592621,0,1
220,1,1,0.978395062,0,1
220,2,1,0.913580247,0,1
220,3,1,0.013374486,0,1
220,4,1,0.032921811,0,1
220,5,1,0.053497943,0,1
220,6,1,0.069958848,0,1
220,7,1,0.055555556,0,1
220,8,1,0.03909465,0,1
220,9,1,0.061728395,0,1
220,10,1,0.5,0,1
220,11,1,0.018518519,0,1
220,12,1,0.018518519,0,1
221,1,1,0.903943973,0,1
221,2,1,0.012010278,0,1
221,3,1,0.013648987,0,1
221,4,1,0.998497348,0,1
221,5,1,0.998497348,0,1
221,6,1,0.998497348,0,1
221,7,1,0.511171299,0,1
221,8,1,0.999179416,0,1
221,9,1,0.934654236,0,1
221,10,1,0.935318417,0,1
221,11,1,0.011519538,0,1
221,12,1,0.003600057,0,1
222,1,1,0.881682471,0,1
222,2,1,0.497168396,0,1
222,3,1,0.319224605,0,1
222,4,1,0.277422305,0,1
222,5,1,0.020205871,0,1
222,6,1,0.3407346,0,1
222,7,1,0.356362049,0,1
222,8,1,7.00E-05,0,1
222,9,1,0.576571367,0,1
222,10,1,0.298968594,0,1
222,11,1,0.00589859,0,1
222,12,1,0.00589859,0,1
223,1,1,0.87345679,0,1
223,2,1,0.908436214,0,1
223,3,1,0.948559671,0,1
223,4,1,0.937242798,0,1
223,5,1,0.946502058,0,1
223,6,1,0.96399177,0,1
223,7,1,0.842592593,0,1
223,8,1,0.794238683,0,1
223,9,1,0.868312757,0,1
223,10,1,0.926954733,0,1
223,11,1,0.728395062,0,1
223,12,1,0.767489712,0,1
224,1,1,0.773776512,0,1
224,2,1,0.63631059,0,1
224,3,1,0.827315923,0,1
224,4,1,0.71300215,0,1
224,5,1,0.695637978,0,1
224,6,1,0.854809155,0,1
224,7,1,0.600135351,0,1
224,8,1,0.807057802,0,1
224,9,1,0.277452153,0,1
224,10,1,0.705767038,0,1
224,11,1,0.633416561,0,1
224,12,1,0.692743949,0,1
